stadium,city,homeTeam,awayTeam,date,time,shortHomeTeam,shortAwayTeam,datetime
Luzhniki Stadium,Moscow,Russia,Saudi Arabia,2018-06-14 00:00:00,15:00,RUS,KSA,2018-06-14T15:00Z
Ekaterinburg Arena,Ekaterinburg,Egypt,Uruguay,2018-06-15 00:00:00,12:00,EGY,URU,2018-06-15T12:00Z
Saint Petersburg Stadium,St. Petersburg,Morocco,IR Iran,2018-06-15 00:00:00,15:00,MAR,IRN,2018-06-15T15:00Z
Fisht Stadium,Sochi,Portugal,Spain,2018-06-15 00:00:00,18:00,POR,ESP,2018-06-15T18:00Z
Kazan Arena,Kazan,France,Australia,2018-06-16 00:00:00,10:00,FRA,AUS,2018-06-16T10:00Z
Spartak Stadium,Moscow,Argentina,Iceland,2018-06-16 00:00:00,13:00,ARG,ISL,2018-06-16T13:00Z
Mordovia Arena,Saransk,Peru,Denmark,2018-06-16 00:00:00,16:00,PER,DEN,2018-06-16T16:00Z
Kaliningrad Stadium,Kaliningrad,Croatia,Nigeria,2018-06-16 00:00:00,19:00,CRO,NGA,2018-06-16T19:00Z
Samara Arena,Samara,Costa Rica,Serbia,2018-06-17 00:00:00,12:00,CRC,SRB,2018-06-17T12:00Z
Luzhniki Stadium,Moscow,Germany,Mexico,2018-06-17 00:00:00,15:00,GER,MEX,2018-06-17T15:00Z
Rostov Arena,Rostov-On-Don,Brazil,Switzerland,2018-06-17 00:00:00,18:00,BRA,SUI,2018-06-17T18:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,Sweden,Korea Republic,2018-06-18 00:00:00,12:00,SWE,KOR,2018-06-18T12:00Z
Fisht Stadium,Sochi,Belgium,Panama,2018-06-18 00:00:00,15:00,BEL,PAN,2018-06-18T15:00Z
Volgograd Arena,Volgograd,Tunisia,England,2018-06-18 00:00:00,18:00,TUN,ENG,2018-06-18T18:00Z
Mordovia Arena,Saransk,Colombia,Japan,2018-06-19 00:00:00,12:00,COL,JPN,2018-06-19T12:00Z
Spartak Stadium,Moscow,Poland,Senegal,2018-06-19 00:00:00,15:00,POL,SEN,2018-06-19T15:00Z
Saint Petersburg Stadium,St. Petersburg,Russia,Egypt,2018-06-19 00:00:00,18:00,RUS,EGY,2018-06-19T18:00Z
Luzhniki Stadium,Moscow,Portugal,Morocco,2018-06-20 00:00:00,12:00,POR,MAR,2018-06-20T12:00Z
Rostov Arena,Rostov-On-Don,Uruguay,Saudi Arabia,2018-06-20 00:00:00,15:00,URU,KSA,2018-06-20T15:00Z
Kazan Arena,Kazan,IR Iran,Spain,2018-06-20 00:00:00,18:00,IRN,ESP,2018-06-20T18:00Z
Samara Arena,Samara,Denmark,Australia,2018-06-21 00:00:00,12:00,DEN,AUS,2018-06-21T12:00Z
Ekaterinburg Arena,Ekaterinburg,France,Peru,2018-06-21 00:00:00,15:00,FRA,PER,2018-06-21T15:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,Argentina,Croatia,2018-06-21 00:00:00,18:00,ARG,CRO,2018-06-21T18:00Z
Saint Petersburg Stadium,St. Petersburg,Brazil,Costa Rica,2018-06-22 00:00:00,12:00,BRA,CRC,2018-06-22T12:00Z
Volgograd Arena,Volgograd,Nigeria,Iceland,2018-06-22 00:00:00,15:00,NGA,ISL,2018-06-22T15:00Z
Kaliningrad Stadium,Kaliningrad,Serbia,Switzerland,2018-06-22 00:00:00,18:00,SRB,SUI,2018-06-22T18:00Z
Spartak Stadium,Moscow,Belgium,Tunisia,2018-06-23 00:00:00,12:00,BEL,TUN,2018-06-23T12:00Z
Rostov Arena,Rostov-On-Don,Korea Republic,Mexico,2018-06-23 00:00:00,15:00,KOR,MEX,2018-06-23T15:00Z
Fisht Stadium,Sochi,Germany,Sweden,2018-06-23 00:00:00,18:00,GER,SWE,2018-06-23T18:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,England,Panama,2018-06-24 00:00:00,12:00,ENG,PAN,2018-06-24T12:00Z
Ekaterinburg Arena,Ekaterinburg,Japan,Senegal,2018-06-24 00:00:00,15:00,JPN,SEN,2018-06-24T15:00Z
Kazan Arena,Kazan,Poland,Colombia,2018-06-24 00:00:00,18:00,POL,COL,2018-06-24T18:00Z
Samara Arena,Samara,Uruguay,Russia,2018-06-25 00:00:00,14:00,URU,RUS,2018-06-25T14:00Z
Volgograd Arena,Volgograd,Saudi Arabia,Egypt,2018-06-25 00:00:00,14:00,KSA,EGY,2018-06-25T14:00Z
Kaliningrad Stadium,Kaliningrad,Spain,Morocco,2018-06-25 00:00:00,18:00,ESP,MAR,2018-06-25T18:00Z
Mordovia Arena,Saransk,IR Iran,Portugal,2018-06-25 00:00:00,18:00,IRN,POR,2018-06-25T18:00Z
Fisht Stadium,Sochi,Australia,Peru,2018-06-26 00:00:00,14:00,AUS,PER,2018-06-26T14:00Z
Luzhniki Stadium,Moscow,Denmark,France,2018-06-26 00:00:00,14:00,DEN,FRA,2018-06-26T14:00Z
Saint Petersburg Stadium,St. Petersburg,Nigeria,Argentina,2018-06-26 00:00:00,18:00,NGA,ARG,2018-06-26T18:00Z
Rostov Arena,Rostov-On-Don,Iceland,Croatia,2018-06-26 00:00:00,18:00,ISL,CRO,2018-06-26T18:00Z
Kazan Arena,Kazan,Korea Republic,Germany,2018-06-27 00:00:00,14:00,KOR,GER,2018-06-27T14:00Z
Ekaterinburg Arena,Ekaterinburg,Mexico,Sweden,2018-06-27 00:00:00,14:00,MEX,SWE,2018-06-27T14:00Z
Spartak Stadium,Moscow,Serbia,Brazil,2018-06-27 00:00:00,18:00,SRB,BRA,2018-06-27T18:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,Switzerland,Costa Rica,2018-06-27 00:00:00,18:00,SUI,CRC,2018-06-27T18:00Z
Volgograd Arena,Volgograd,Japan,Poland,2018-06-28 00:00:00,14:00,JPN,POL,2018-06-28T14:00Z
Samara Arena,Samara,Senegal,Colombia,2018-06-28 00:00:00,14:00,SEN,COL,2018-06-28T14:00Z
Mordovia Arena,Saransk,Panama,Tunisia,2018-06-28 00:00:00,18:00,PAN,TUN,2018-06-28T18:00Z
Kaliningrad Stadium,Kaliningrad,England,Belgium,2018-06-28 00:00:00,18:00,ENG,BEL,2018-06-28T18:00Z
Kazan Arena,Kazan,1C,2D,2018-06-30 00:00:00,14:00,1C,2D,2018-06-30T14:00Z
Fisht Stadium,Sochi,1A,2B,2018-06-30 00:00:00,18:00,1A,2B,2018-06-30T18:00Z
Luzhniki Stadium,Moscow,1B,2A,2018-07-01 00:00:00,14:00,1B,2A,2018-07-01T14:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,1D,2C,2018-07-01 00:00:00,18:00,1D,2C,2018-07-01T18:00Z
Samara Arena,Samara,1E,2F,2018-07-02 00:00:00,14:00,1E,2F,2018-07-02T14:00Z
Rostov Arena,Rostov-On-Don,1G,2H,2018-07-02 00:00:00,18:00,1G,2H,2018-07-02T18:00Z
Saint Petersburg Stadium,St. Petersburg,1F,2E,2018-07-03 00:00:00,14:00,1F,2E,2018-07-03T14:00Z
Spartak Stadium,Moscow,1H,2G,2018-07-03 00:00:00,18:00,1H,2G,2018-07-03T18:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,W49,W50,2018-07-06 00:00:00,14:00,W49,W50,2018-07-06T14:00Z
Kazan Arena,Kazan,W53,W54,2018-07-06 00:00:00,18:00,W53,W54,2018-07-06T18:00Z
Samara Arena,Samara,W55,W56,2018-07-07 00:00:00,14:00,W55,W56,2018-07-07T14:00Z
Fisht Stadium,Sochi,W51,W52,2018-07-07 00:00:00,18:00,W51,W52,2018-07-07T18:00Z
Saint Petersburg Stadium,St. Petersburg,W57,W58,2018-07-10 00:00:00,18:00,W57,W58,2018-07-10T18:00Z
Luzhniki Stadium,Moscow,W59,W60,2018-07-11 00:00:00,18:00,W59,W60,2018-07-11T18:00Z
Saint Petersburg Stadium,St. Petersburg,L61,L62,2018-07-14 00:00:00,14:00,L61,L62,2018-07-14T14:00Z
Luzhniki Stadium,Moscow,W61,W62,2018-07-15 00:00:00,15:00,W61,W62,2018-07-15T15:00Z
